Startup,URL,Business Description,Funding Stage, Total funding (US$),Venture Space,Opportunity Space 1,Founded,Country,Maturity
Dayzz,https://dayzz.com/,"Dayzz is an app offering sleep training plans for improving sleep. The app tracks the daily habits, sleep schedules, and lifestyle of the user from wearable devices to analyze and provide personalized sleep improvement programs. The app creates programs based on the type of sleep disorder using algorithms and modifies the programs based on the progress. The app tracks the sleep data to analyze the progress and provide real-time reports, statistics, and insights. The app also offers reminders, tips and customized challenges for sleep management.",Undisclosed,,Sleep,Sleeping pills alternatives,2017,Israel,Existing
Awarables,https://www.awarables.com/,Awarables provides wearable and mobile app for identifying and treating sleep disorders via coaching and behavior modification. ,Seed,500000,Sleep,Sleep Environment,2013,USA,Existing
Frasen,http://www.frasen.com/,Sleep mask to monitor sleep and improve sleep quality,Undisclosed,,Sleep,Sleep Environment,2010,South Korea,Existing
REM-fit,https://remfit.com/,"REM-Fit is a manufacturer of mattresses and smart pillows. Its products include memory foam mattresses, innerspring mattresses and smart pillows. It sells products online. The smart pillow tracks the user's sleep quality and tracked using the app. The app can be used to stream music to improve sleep quality and stop snoring.",Unfunded,,Sleep,Sleep Environment,2011,USA,Existing
Naptime,https://www.bestnaptime.com/home,"Naptime is a sleeping mask developed by Entertech. The mask uses an integrated dry EEG electrode to detect the brain activity and wakes up the user in their light sleep phase after 20 minutes of sleep. The device also has earphones which play music from the user's phone according to their mood and turns on white noise when the user falls asleep. Also, the app monitors user's brain activity and learns which songs help the user in improving their sleep quality.",Undisclosed,,Sleep,Sleep Environment,2014,China,Existing
Pegasi,https://www.pegasiglass.net/,Shenzhen Qianhai Icecold has developed smart sleep glasses and connected app for monitoring sleep and improving the quality of sleep. The smart glasses use the light to stimulate the Biological regulator(SCN) of the brain which adjusts the melatonin secretion for managing the biological rhythm of the body essential for improving sleep quality. The connected app is used to track and monitor sleep data.,Undisclosed,,Sleep,Sleep Environment,2016,China,Emerging
Orbityl,https://www.orbityl.co/,Orbityl develops smart earplugs that can monitor the sleep quality and state of the user. The earplugs are developed using an EEG sensor that can monitor the user's brain activity to get insights about their sleep quality and habits. Using this the data a 3-week personalised sleep training program is created to help the user in improving their sleeping habits and sleep quality. The earplugs use active noise cancellation to block outside noises. The earplugs have a smart alarm feature that wakes up the user when they are in their lightest stage of sleep.,Unfunded,,Sleep,Sleep Environment,2017,Canada,Emerging
Beddr Sleep,https://www.beddrsleep.com/,Beddr offers a wearable device to track the breathing and sleeping positions to analyze sleep quality. ,Series A,9450000,Sleep,Sleep Environment,2016,USA,Existing
Snoooze,https://www.snoooze.co/,"Snoooze is an all-natural sleep drink for healthy, working adults who’d like to enjoy healthy, natural sleep, especially in times of stress.",Undisclosed,,Sleep,Sleeping pills alternatives,2017,Austria,Existing
Som Sleep,https://getsom.com/,"The scientifically advanced Som Stack  includes ingredients that are naturally found in body, a healthy diet, and green tea",Undisclosed,,Sleep,Sleeping pills alternatives,2017,USA,Emerging
NOX Sleep Drink,https://www.noxsleepdrink.com/,"A natural sleeping drink made of velerian, tilia, passiflora, which makes it easier to fall asleep, sleep through better and wake up feeling rested.",Unfunded,,Sleep,Sleeping pills alternatives,2015,Netherlands,Existing
Rebloom,https://rebloom.com/,"Giving people a good night's sleep night after night,made of L-Theanine,Melatonin,Lavender, Valerian, Chamomile, Vitamin B-12,VitaminE, Magnesium. ",Unfunded,,Sleep,Sleeping pills alternatives,2008,USA,Existing
Sleep Well Milk,https://sleepwellmilk.com/,A sleeping milk drink produce with valerian that blend well with creamy whole Jersey milk.,Undisclosed,,Sleep,Sleeping pills alternatives,2017,England,Existing
Goodnight Drink,https://goodnightdrink.com/,Good Night is a 250ml can with natural herbal extracts that contains herbal extracts of lemon balm and hops.,Unfunded,,Sleep,Sleeping pills alternatives,2009,Czech Republic,Existing
Bearaby,https://bearaby.com/,"Bearaby is an internet first brand of bedding products. They claim the products are made from natural materials.The simple science of sleeping under weight goes back to Deep Touch Pressure therapy, which is highly beneficial for the body.",Unfunded,,Sleep,Sleep Environment,2018,USA,Emerging
Sleepace,http://www.sleepace.com/,"Sleepace offers a sleep tracking device called RestOn that can monitor user's sleep quality. It does this by tracking the user’s sleep time, heart rate, respiratory rate, body movement and sleep cycles. ",Series B,17700000,Sleep,Sleep Environment,2012,China,Existing
Sambazon,https://www.sambazon.com/products/energy-drinks/,"Producing enery drink powered by yerba mate, green tea and guarana.",Series D,"37,700,000",Boost,Energy consumables,2000,USA,Existing
Synapse,https://drinksynapse.com/,"Synapse provides energy drinks supplements. The drink contains vitamins, minerals, herbs, and organic compounds. The drink is for memory function, increased focus, and improved mental clarity and also provides the body with physical energy. The company sells its products through its own online website.",Seed,1000000,Boost,Mood boost,2016,USA,Emerging
Pre-Action Essential,https://www.essentialnutrition.com.br/,"Essential Nutrition provides energy and power providing supplement drinks. Their products are available in different flavors like apple, mint, lime, and pineapple. It contains carbohydrates, electrolyte, natural sugar, mineral, vitamins and does not contain gluten, lactose, dyes, and preservatives. Their flagship products are PALATINOSE containing low-glycemic (GI) and insulin, MAGNESIUM TAURATO containing mineral magnesium among others.",Unfunded,,Boost,Energy consumables,2017,Brazil,Existing
PREPD,https://prepdhydration.com.au/,"PREPD is a healthcare and nutrition brand. Their products include energy drink for hydration. The company claims that their products are organic, nutritious, and don't contain sugar or any artificial colors and flavors. The company sells the majority of their products in Clovelly Park, SA.",Seed,1000000,Boost,Energy consumables,2017,Australia,Existing
Mad Croc,http://madcroc.com/,"Mad Croc produces and distributes beverages and confection items such as energy drinks, soft fruit chews and chewing gum under the Mad Croc brand name. The key theme of all its products is that the products are specifically designed to deliver energy to consumers. It has partnered with several retailers across USA to stock the product and also sells the products on its website",Undisclosed,,Boost,Energy consumables,2004,USA,Existing
ONGO Energy,https://ongoenergy.com/,On Go Energy is engaged in manufacturing and marketing of energy shot oral spray. The company claims that the oral energy spray works quicker than the energy drinks. The company sells its product online.,Unfunded,,Boost,Energy consumables,2006,USA,Emerging
Care Of,https://takecareof.com/,Personalised vitamins packs delivered to users based on a set of questions that they answer from a website. Have been backed by Goldman Sachs.,Series B,"42,200,000",Boost,Instant Stress Relief,2016,USA,Distant
Good Belly,https://goodbelly.com/,NextFoods is a brand of NextFood which makes organic fruit juice drinks. Goodbelly contains 20 billion live and active probiotic cultures per serving to promote digestive health.,Series A,"36,000,000",Boost,Unlocking Probiotic,2006,USA,Existing
Seed,https://seed.com/,Seed has developed synbiotics for simulating the gut microbiome to improve health. The company metabolomic sequencing and has developed a proprietary screening platform for the screening of host mechanistic pathways. ,Unfunded,,Boost,Unlocking Probiotic,2016,USA,Emerging
Love Wellness,https://lovewellness.com/,"Love Wellness is engaged in manufacturing and marketing a range of dietary supplements and personal care products. Product categories include infection erasers, probiotic support, vitamin support, and cleansers. ",Unfunded,,Boost,Unlocking Probiotic,2016,USA,Existing
Great HealthWorks,https://www.greathealthworks.com/,"Great HealthWorks is engaged in manufacturing and marketing a range of health and wellness products. The company offers products for various health categories, such as musculoskeletal, women's health, digestive, cardiac, metabolism, men's health, brain and mood energy, vitamins and minerals deficiency, antioxidant, and other special conditions. The company has a portfolio of 48 products, a few of which include Vitamin C, CoQ10, Cinnamon, Candida support etc. ",Unfunded,,Boost,Unlocking Probiotic,2003,USA,Existing
EnduroPacks,https://www.enduropacks.com/,"EnduroPacks offers a daily system of essential vitamins and minerals for endurance athletes. Customers receive a monthly pack of essential vitamins and minerals for pre-, during-, and post-workout endurance training. Their system contains a 30 day supply of 4 essential products: a liquid multi-vitamin, a concentrated electrolyte spray, transdermal amino acid patches, and a L-glutamine complex.",Seed,100000,Boost,Energy consumables,2013,USA,Emerging
StrideBox,https://stridebox.com/,StrideBox is a monthly subscription service of curated nutrition products for runners and other endurance athletes. It partners with companies and brands that make performance related products to put together a box full of 6-8 product samples that costs around $15 per month.,Unfunded,,Boost,Energy consumables,2013,USA,Emerging
Vhnutrition,https://vhnutritionllc.com/collections/herbal-supplements/products/kava-kava-700mg-capsules-piper-methysticum-extract-60-day-supply,VH Nutrition is a cutting edge nutritional supplement company dedicated to creating 100 percent natural products to meet the needs of growing consumer demand for alternatives to prescription medications.,Unfunded,,Boost,Instant Stress Relief,2010,USA,Existing
Inhale Health,https://www.inhalehealth.com,"Inhale Health is a biotechnology company based in Los Angeles, California. It develop inhaled products that delivers positive substances,  and promote to improve your health, wellness, and energy level. It does this via three specific vape pens – one contains B12, the other caffeine, and the third melatonin.",Undisclosed,,Boost,Instant Stress Relief,2014,USA,Distant
Kava Kasa,http://www.kavakasagr.com/,"Kava is a root of the piper methysticum plant grown throughout the South Pacific Islands. The kava kava root is made into a cold brew tea, referred to as kava milk. Kava tea has been apart of the islander’s culture for over a thousand years in ceremonies, social events, and for medicinal purposes. Kava promotes a peaceful taste of well being leaving you feeling relaxed and ready to socialize, naturally.",Undisclosed,,Boost,Instant Stress Relief,,USA,Distant
DAO Labs,https://mydaolabs.com/,"Dao Labs is engaged in manufacturing and marketing a range of natural ingredients based herbal effervescent powders for balanced body and mind. The company has a portfolio of 4 effervescent powder products for emotional balance, digestive harmony (relieves stress and provides mental clarity), immunity support (safety from airborne pathogens) and women's formula (provides regularity and strength during monthly cycle).",Seed,260000,Boost,Instant Stress Relief,2015,USA,Existing
Seedlip,https://seedlipdrinks.com/uk/,"Seedlip is a distilled non-alcoholic spirit, created to solve the dilemma of ""what-to-drink-when-you're-not drinking"". ",Acquired,2014,Drink,Euphoric drinks,2014,England,Emerging
Kava collective,https://www.kavacollective.com/,"Premium, high-quality Kava Kava root powder, instant Kava, Kava kits and accessories.",Undisclosed,,Drink,Euphoric drinks,2013,USA,Emerging
CalmiGo,https://calmigo.com/,CalmiGo's is a developer of the device for relieving stress. The device is used for relieving from stress/ anxiousness. The smart technology to regulate breathing and detaches the senses from stress/anxiousness.,Undisclosed,,Boost,Instant Stress Relief,2018,USA,Emerging
Dirty Lemon,https://dirtylemon.com/,"Dirty Lemon is a brand of lemon juices. Offerings include lemon juices across various categories such as collagen, charcoal, matcha, ginseng, and sleep lemon juice. The company claims that its products are made of concentrated sources of antioxidants and contains caffeine as well. Users can add preferred products to the shopping cart & enter contact number while checking out. The company sends them a confirmation message once the order is accepted. Users can update the required details through text messages & make the payment as discussed with the company. They can re-order products only through texts messages.",Series A,15100000,Boost,Instant Stress Relief,2015,USA,Existing
Senser,https://www.senserspirits.com/,"Each bottle of Senser’s Plants Spirits contains approx. 30g of active botanical content. That means the compounds, micronutrients, minerals, vitamins, protein structures and other ‘functional’ parts of the plants are still present and active in the liquid. ",Undisclosed,,Drink,Euphoric drinks,2019,England,Existing
Kalm with kava,https://kalmwithkava.com/,"Kalm with Kava began in 2010 with a simple mission, to create great tasting and effective Noble kava products to help people relax more naturally.",Unfunded,,Boost,Instant Stress Relief,2011,USA,Emerging
Wacacon Kava,https://www.wakacon.com/,"Providing traditional kava, made up of ground roots, which are made into a tea, and traditionally strained through a strainer bag or other straining method, and then drank.",Undisclosed,,Boost,Instant Stress Relief,2016,USA,Emerging
Naturevibe Botanicals,https://naturevibe.com/,"Naturevibe Botanicals specializes in providing an entire range of the highest quality organic botanical health food products from around the world, thereby encouraging people to choose a healthy, nutritious, chemical-free lifestyle.It provides organic maca cacao powder, organic cacao powder and organic cacao nibs.",Unfunded,,Boost,Instant Stress Relief,2017,USA,Existing
VH Nutrition,https://vhnutritionllc.com/products/kava-kava-700mg-capsules-piper-methysticum-extract-60-day-supply,Kava Kava (Piper methysticum) is a natural herb that helps to reduce anxiety and stress symptoms,Undisclosed,,Boost,Instant Stress Relief,2007,USA,Emerging
Maui Medicinal,https://www.mauimedicinal.com/collections/hawaiian-kava,"Maui Medicinal offers online natural & Ayurvedic herbs which are antioxidant, anti-stress and highly absorb-able nutrients for human body.",Unfunded,,Boost,Instant Stress Relief,2000,USA,Existing
Trimino,https://drinktrimino.com/,"Drink Trimino is a protein fortified flavored water consumer brand. The product is available in 4 flavors. A bottle of water contains 28kcals, 7g of whey protein and is also fortified with vitamin B complex. ",Series A,"8,500,000",Boost,Instant Stress Relief,2013,USA,Existing
Inscape,https://inscape.life/,"Inscape offers meditation programs via the app or at a meditation studio located in New York City. It is founded by Khajak Keledjian, former owner of the boutique chain Intermix. The app makes relevant suggestions based on time of day. The app offers guided meditations, sound baths, relaxation techniques and breathing exercises. Inscape also conducts meditation sessions at their NYC studio.",Seed,1880000,Boost,Instant Stress Relief,2016,USA,Emerging
Moon Juice,https://moonjuice.com/pages/supplements,"Moon Juice is a brand of natural skin care products. Its products include serums, facial creams, wrinkle creams, etc. The firm sells products through its online store. Products are also sold via its offline stores and via partnered offline retailers in the US.",Undisclosed,,Boost,Instant Stress Relief,2011,USA,Existing
Neom Organic,https://www.neomorganics.com/collections/wellbeing-pod?gclid=Cj0KCQiA-bjyBRCcARIsAFboWg1iSmBn_3-eA5tEXSKXMzoQH7UeTrd-5afl84NVVlQpxNfw_nRZ_uAaAgSEEALw_wcB,"Neom Organics is a brand of personal care products such as bath oils, body lotions, scrubs etc and home fragrance products such as perfumes, candles, diffusers and mists. It claims to make 100% natural fragrances from natural and organic ingredients. It sells its products both through online and offline stores. Some of its products have won beauty awards.",Unfunded,,Boost,Instant Stress Relief,2005,England,Existing
Sleepasil,https://sleepasil.com/,"Organica Nutraceuticals is engaged in manufacturing and marketing sleep support supplement. The company sells the product under the brand name Sleepasil. The company claims that the product is made of natural ingredients. Primary ingredients include Melatonin, Chamomile, and Valerian root. The company claims that the product helps in relaxing the body and relieving the mind of stress and anxiety, thereby achieving normal sleep pattern. As of Feb 2018, the company sells the product through partnering with retailers.",Unfunded,,Sleep,Sleeping pills alternatives,2005,Philippines,Existing
Tranzend,https://tranzendhealth.com/,Tranzend is engaged in manufacturing and marketing dietary supplements. Product offered by the company are CortiZen and Detox Stix. These consist of herbal extracts and vitamins. CortiZen is a stress reliever and Detox Stix assist in body detoxification. The company sells its products online.,Unfunded,,Boost,Energy consumables,2015,USA,Existing
CalmSupport,https://calmsupport.com/,CalmSupport provides herbal supplements. The supplements are meant for relieving stress and offering relaxation support. The company uses bioactive vitamins and organic whole-herb powder for their product.,Unfunded,,Boost,Instant Stress Relief,2013,USA,Existing
Geo-fresh,https://www.geo-fresh.com/,Providing Gotu Kola lowers Cortisol (stress hormone) and increases serotinin and dopamine(happy) level. This has a positive impact on anxiety issues.,Unfunded,,Boost,Instant Stress Relief,2005,India,Emerging
ViB,https://www.facebook.com/DrinkViB/,"VACATION IN A BOTTLE™ is The Happy Relaxation Drink. ViB is great tasting, only 40 calories, and caffeine free and helps you unwind and focus from daily stress. ",Undisclosed,,Boost,Instant Stress Relief,2008,USA,Emerging
Kin,https://shop.kineuphorics.com/products/high-rhode,"Kin Euphorics provides hangover relieving nutraceutical. The supplement contains Rhodiola root, GABA, 5-HTP, citocoline, phenibut, tyrosine, hibiscus extract, gentian, licorice, and orange. The supplement helps to fight the side-effects of alcohol consumption.",Unfunded,,Drink,Euphoric drinks,2018,USA,Emerging
Tranquila,https://drinkhacker.com/2010/10/25/review-tranquila-relaxation-shots/,"Tranquila is available in two varieties, with quite different formulations (but both with zero calories, sweetened with sucralose).Tranquila Original can improve overall mood, boost immune system response, and combat stress.Tranquila PM can improve overall mood, boost immune system response, and combat stress, but to put you to sleep too.",Undisclosed,,Boost,Instant Stress Relief,,USA,Existing
Blue Cow,https://www.facebook.com/pg/Blue-Cow-The-Original-Relaxation-Drink-119880034701159/about/?ref=page_internal,"Blue Cow will help you relax and enjoy the many benefits that come from being in a calm, anti-stressed state.",Undisclosed,,Boost,Instant Stress Relief,2005,USA,Emerging
Green Blender,https://greenblender.com/,Green Blender delivers a box filled fresh ingredients for 5 different smoothie recipes each week. The organic fruits and vegetables are from local markets and farms. Customers also receive spices and other add-ins – everything required to make the smoothies. Ingredients are pre-portioned for each recipe and include directions for prepping and storing,Seed,"$1,700,000.00",Boost,Energy consumables,2014,USA,Existing
Daily Harvest,https://www.daily-harvest.com/,"Daily Harvest delivers frozen smoothies that are packaged in individual, ready-to-blend cups. Each smoothies is designed by chefs and nutritionists, have organic ingredients and key superfoods. They offer subscription plans starting from $7 per smoothie for a pack of 24.",Series B,44500000,Boost,Energy consumables,2012,USA,Existing
Think of Purple Stuff,http://mypurplestuff.com/,Purple Stuff is made by a company that believes you should not go through life stressed out. Purple Stuff is the best tasting vitamin beverage ever made.,Undisclosed,,Boost,Instant Stress Relief,2007,USA,Emerging
Ascents,https://www.shopascents.com/,"Established in 2010, Aeroscena is the corporate research and development organization behind Ascents®, the leading brand of aromatherapeutic phyto-inhalants™.Aeroscena has developed the first scientifically-recognized platform for essential oils R&D. Ascents-branded clinical aromatherapy formulas are the only aromatherapy products that are recommended by doctors, used by hospitals®.",Undisclosed,,Sleep,Sleep Environment,2010,USA,Existing
Therabox,https://www.mytherabox.com/,"A monthly therapy-in-a-box curated by therapists to boost your happiness using activities + products inspired by research in neuroscience, psychology, health and wellness!",Undisclosed,,Boost,Instant Stress Relief,2017,USA,Distant
Feeling Fab Box,https://www.feelingfabbox.com/,Feeling Fab Box is an online subscription platform offering skincare and wellness tools for women. It is a monthly subscription-based where it contains skincare products of organic brands. It also contains a self-care guide.,Unfunded,,Boost,Instant Stress Relief,2016,USA,Emerging
FabFitFun,https://fabfitfun.com/get-the-box/?step=getbox&#plan=fffvip,"FabFitFun is a healthy woman’s lifestyle subscription box company. The company started as an online magazine. A box of products is shipped every three months for $49.99. The box features a mix of beauty, fashion, fitness, wellness and home products.",Unfunded,,Boost,Instant Stress Relief,2010,USA,Emerging
Nourished,https://get-nourished.com/,"Nourished ambition is to change the way the world thinks, buys and experiences nutrition—it’s why our custom stacks are the result of over 100,000 lab hours, collaborations with industry experts and the expertise of our in-house nutritionist.All of our ingredients are sourced from high-grade vegan whole food sources and lab-tested to ensure that every Nourishment is custom, quality and made to order.",Seed,2560000,Boost,Instant Stress Relief,2018,England,Emerging
8HSleep,http://www.8hsleep.com/,8HSleep is a private label mattress developer. It is focused on science of sleep and aims to develop bedding related products to help improve sleeping pattern of the users. It has raised Series A round of funding from JD.com and Shunwei.,Series A,1500000,Sleep,Sleep Environment,2015,China,Existing
Juvolabs,https://www.juvolabs.com/,"Juvo is a sensor mat that slipped under the mattress and can detect movement, breathing, and heart rate during sleep. It is connected to a wifi-enabled communicator unit placed next to the bed sends out sleep data to a cloud-based analytics engine. It then interprets this data and gives personalized advice on how to improve sleep through Juvo's app. Initially started with Juvo Junior (baby breathing and sleep monitoring), it has now expanded to offer products Juvo Adults and Juvo Senior Care. Juvo’s mat uses fiber-optic microbending sensors, which is sensitive enough to pick up breathing and heart beat through almost mattress. The company has distributing partners to reach out to consumers in the US and Europe as well as various countries in ASEAN, including the Philippines and Indonesia.",Funded,50000,Sleep,Sleep Environment,2014,Singapore,Emerging
HealthKart,https://www.healthkart.com/,"HealthKart is an online store for health, sport, and nutritional supplements. It offers product under categories such as vitamin and supplements, Ayurveda and herbs, health food and drive, fitness, wellness, and sports nutrition. Also gives the list of trending products in each category and provides consultation with nutritionists.",Series G,89200000,Boost,Energy consumables,2011,India,Existing
Yofix,https://www.yofix.co.il/,"Yofix develops and manufactures non-diary and non-soy probiotic foods. It has developed a dairy free products based from blends of cereals, nuts, and seeds. It manufactures 3 bio-vegetable products from plant-based ingredients, such as grains, legumes, and seeds which are fermented in a process similar to that used in traditional yogurt. It is also in plans to develop a new generation of healthy, environment-friendly foods. The company has completed a seed investment round in August 2015 by TheKitchen Food Tech Hub.",Series A,2500000,Boost,Unlocking Probiotic,2015,Israel,Emerging
Perkii,https://www.perkii.com/,"PERKii is a probiotic drink made by the company ProGel. The drink contains only 26 calories per serving and 1 billion live probiotics. The drink is sold in three flavors which include Lime and Coconut, Raspberry and Pomegranate, and Elderflower and Green Tea. The company claims that the drink helps in digestion and immunity. As of June, 2016, the drink is sold in a number of Queensland based cafes, IGA supermarkets and gyms",Series A,7000000,Boost,Unlocking Probiotic,2015,Australia,Existing
Hi Tech BioSciences India,http://www.htblindia.com/,"Hi Tech Biosciences India manufactures probiotics & nutraceutical products. They manufacture probiotics for human, animal, poultry, and aquaculture use. SynerPro Probiotic Strains is a strain which is isolated and studied for their probiotic characteristics. They develop probiotic formulas in a variety of dosage forms including lozenges and chewable, as well as tablets, capsules, and powders.",Undisclosed,,Boost,Unlocking Probiotic,2007,India,Existing
Brio Bliss Life Science,https://briobliss.com/bb/,"Brio Bliss Life Science offers formulations of Phytochemicals, Probiotics and Neutraceuticals. The core therapeutic areas of focus include Gynecology and pediatrics",Acquired,2490000,Boost,Unlocking Probiotic,2012,India,Distant
Craft & Culture,https://www.craftculturesg.com/,"Craft and Culture is a multi-category food and beverages company. Their products include kombucha, milk kefir, water kefir and more. Also sells probiotic skin care products and pet products. The company sells their products online. The company sells the majority of products in Singapore.",Unfunded,,Boost,Unlocking Probiotic,2016,Singapore,Existing
chopnownow,https://www.chopnownow.com/,Chopnownow is an internet-first restaurant offering Nigerian cuisine and alcoholic beverages delivery. Users can order energy drink and high-protein containing food dishes. ,Unfunded,,Boost,Energy consumables,2017,Nigeria,Emerging
REIZE Energy Drinks,https://www.reizeclub.com/,"REIZE Energy Drinks is an online subscription platform for energy drink powder. The company claims that the drinks are formulated which help to increase focus, stamina, and performance & also have essential B-group vitamins.",Unfunded,,Boost,Energy consumables,2012,Australia,Emerging
Back to Basics Nutrition,https://backtobasics-nutrition.co.za/,"Back to Basics Nutrition is engaged in manufacturing and marketing a meal replacement shake and an energy drink powder. The company claims that its products are gluten-free, high in fibre, high in protein, and high in vitamin c. As of Jan 2018, the company sells its products online.",Unfunded,,Boost,Energy consumables,2015,South Africa,Existing
Fit4Style,http://fit4.style/,"Fit4Style provides dietary supplements. Their supplements include protein shake mixes and carbohydrate and minerals based energy drink sprays. Their supplements are meant for weight management and maintaining overall wellness.",Unfunded,,Boost,Energy consumables,2017,Israel,Existing
Wolf Energy Bar,https://www.wolfenergyhq.com/,"WOLF Energy is engaged in maufacturing and marketing of healthcare & nutrition. Their products include energy bars, energy drinks, energy pills and more. The company sells its products online.",Unfunded,,Boost,Energy consumables,2017,New Zealand,Existing
UMTEA,http://www.umtea.com,UMTEA is a tea maker which uses natural plants and fruits as their ingredients.,Unfunded,,Sleep,Sleeping pills alternatives,2012,China,Existing
Gaubau,http://www.gaubau.com,Altay Gaubau is a company that focuses on Apocynum venetum and it produces tea products that help with sleeping and blood pressure.,Unfunded,,Sleep,Sleeping pills alternatives,2006,China,Emerging
Bai Cao Ling,https://baicaoling.tmall.com,Bai Cao Ling sells health and wellness products that use traditional Chinese medicine as ingredients.,Unfunded,,Sleep,Sleeping pills alternatives,2015,China,Emerging
Zaichuntang,https://zaichuntang.tmall.com,Zaichuntang is a company that produces various health supplements using Chinese medicines and herbs,Unfunded,,Boost,Energy consumables,2008,China,Emerging
NutraChamps,https://www.nutrachamps.com,"NutraChamps aims to create premium nutritional products with uncompromised quality through using the best safe, natural, and proven ingredients and methods available.",Undisclosed,,Boost,Energy consumables,2016,Canada,Existing
Root of Happiness Kava,https://rootofhappinesskava.com/,"FDA registered direct importer from kava farms in Vanuatu, Fiji, Hawaii, Samoa, Tonga and the Solomons. Creates powderised forms of kava.",Undisclosed,,Drink,Euphoric drinks,2013,USA,Emerging
YesYesYes,https://www.yesyesyes.org/,Online shop that sells organic lubricants for sex,Undisclosed,,Play,Sex +,2016,USA,Existing
Mystery Vibe,https://world.mysteryvibe.com/pages/about-us,Research and invent the latest in sexual technology,Seed,561000,Play,Sex +,2014,England,Emerging
Lovability,https://lovabilityinc.com/,Make products for happier and healthier sex.,Acquired,,Play,Sex +,2014,USA,Emerging
Lyres,https://lyres.com.au/,"Discover a full range of impossibly crafted, non-alcoholic, low calorie spirits.",Seed,,Drink,Euphoric drinks,2019,Australia,Distant
Pentire Drinks,https://pentiredrinks.com/,Botanical Non-Alcoholic Spirits,Unfunded,,Drink,Euphoric drinks,2019,England,Distant
Ritual Zero Proof,https://www.ritualzeroproof.com/,"Ritual Zero-Proof alternative spirits deliver the taste, aroma and burn of a good gin or whiskey--without the alcohol or calories.",Seed,,Drink,Euphoric drinks,2019,USA,Distant
